,Source Word,Derived Word,Affix
12083,aide-de-camp,aide-de-campship,-ship
12084,airman,airmanship,-ship
12085,alderman,aldermanship,-ship
12086,ally,allyship,-ship
12087,almighty,almightyship,-ship
12088,almoner,almonership,-ship
12089,amateur,amateurship,-ship
12090,ambassador,ambassadorship,-ship
12091,ancestor,ancestorship,-ship
12092,apostle,apostleship,-ship
12093,apostolic,Apostolicship,-ship
12094,apothecary,apothecaryship,-ship
12095,apprentice,apprenticeship,-ship
12096,archbishop,archbishopship,-ship
12097,archdeacon,archdeaconship,-ship
12098,archer,archership,-ship
12099,archon,archonship,-ship
12100,arhat,arhatship,-ship
12101,article,articleship,-ship
12102,artisan,artisanship,-ship
12103,assassin,assassinship,-ship
12104,assessor,assessorship,-ship
12105,assignee,assigneeship,-ship
12106,assistant,assistantship,-ship
12107,associate,associateship,-ship
12108,attorney,attorneyship,-ship
12109,auditor,auditorship,-ship
12110,augur,augurship,-ship
12111,auteur,auteurship,-ship
12112,author,authorship,-ship
12113,authour,authourship,-ship
12114,autocrat,autocratship,-ship
12115,baby,babyship,-ship
12116,bachelor,bachelorship,-ship
12117,bailiff,bailiffship,-ship
12118,banker,bankership,-ship
12119,bard,bardship,-ship
12120,baron,baronship,-ship
12121,barrister,barristership,-ship
12122,bashaw,bashawship,-ship
12123,bastard,bastardship,-ship
12124,batsman,batsmanship,-ship
12125,bawd,bawdship,-ship
12126,beadle,beadleship,-ship
12127,bearer,bearership,-ship
12128,bear,bearship,-ship
12129,beau,beauship,-ship
12130,bedel,bedelship,-ship
12131,bene,beenship,-ship
12132,belonger,belongership,-ship
12133,bencher,benchership,-ship
12134,bene,beneship,-ship
12135,better,bettership,-ship
12136,blood_relation,blood_relationship,-ship
12137,boardman,boardmanship,-ship
12138,boardsman,boardsmanship,-ship
12139,boatman,boatmanship,-ship
12140,body,bodyship,-ship
12141,bold,boldship,-ship
12142,bookman,bookmanship,-ship
12143,boyfriend,boyfriendship,-ship
12144,breeder,breedership,-ship
12145,brickman,brickmanship,-ship
12146,brigadier,brigadiership,-ship
12147,broker,brokership,-ship
12148,brother,brothership,-ship
12149,burgess,burgess-ship,-ship
12150,burgher,burghership,-ship
12151,bursar,bursarship,-ship
12152,bushman,bushmanship,-ship
12153,butler,butlership,-ship
12154,bystander,bystandership,-ship
12155,cadet,cadetship,-ship
12156,cadre,cadreship,-ship
12157,caliph,caliphship,-ship
12158,camper,campership,-ship
12159,candidate,candidateship,-ship
12160,canon,canonship,-ship
12161,captain,captainship,-ship
12162,captayne,captayneship,-ship
12163,cardinal,cardinalship,-ship
12164,career,careership,-ship
12165,carrier,carriership,-ship
12166,catechumen,catechumenship,-ship
12167,caudillo,caudilloship,-ship
12168,celebrity,celebrityship,-ship
12169,censor,censorship,-ship
12170,chairman,chairmanship,-ship
12171,chairperson,chairpersonship,-ship
12172,chair,chairship,-ship
12173,chairwoman,chairwomanship,-ship
12174,chamberlain,chamberlainship,-ship
12175,champion,championship,-ship
12176,chancellor,chancellorship,-ship
12177,chancellour,chancellourship,-ship
12178,chaperone,chaperoneship,-ship
12179,chaplain,chaplainship,-ship
12180,charge,chargeship,-ship
12181,chattel,chattelship,-ship
12182,chauffeur,chauffeurship,-ship
12183,cheerleader,cheerleadership,-ship
12184,chela,chelaship,-ship
12185,chief,chiefship,-ship
12186,chieftain,chieftainship,-ship
12187,child,childship,-ship
12188,chum,chumship,-ship
12189,churchman,churchmanship,-ship
12190,church,churchship,-ship
12191,churchwarden,churchwardenship,-ship
12192,churchwoman,churchwomanship,-ship
12193,cicerone,ciceroneship,-ship
12194,citizen,citizenship,-ship
12195,clan,clanship,-ship
12196,clerk,clerkship,-ship
12197,client,clientship,-ship
12198,clown,clownship,-ship
12199,clubman,clubmanship,-ship
12200,coachman,coachmanship,-ship
12201,coadjutor,coadjutorship,-ship
12202,cocksman,cocksmanship,-ship
12203,coeditor,coeditorship,-ship
12204,coheir,coheirship,-ship
12205,colleague,colleagueship,-ship
12206,collector,collectorship,-ship
12207,colonel,colonelship,-ship
12208,commandant,commandantship,-ship
12209,commander,commandership,-ship
12210,commentator,commentatorship,-ship
12211,commissary,commissaryship,-ship
12212,commissioner,commissionership,-ship
12213,commission,commissionship,-ship
12214,committee,committeeship,-ship
12215,common,commonship,-ship
12216,companion,companionship,-ship
12217,compatriot,compatriotship,-ship
12218,comptroller,comptrollership,-ship
12219,comrade,comradeship,-ship
12220,concierge,conciergeship,-ship
12221,conductor,conductorship,-ship
12222,confederate,confederateship,-ship
12223,confessor,confessorship,-ship
12224,conman,conmanship,-ship
12225,connoisseur,connoisseurship,-ship
12226,conservator,conservatorship,-ship
12227,consort,consortship,-ship
12228,conspirator,conspiratorship,-ship
12229,constable,constableship,-ship
12230,consul,consulship,-ship
12231,consultant,consultantship,-ship
12232,consumer,consumership,-ship
12233,container,containership,-ship
12234,contender,contendership,-ship
12235,contributor,contributorship,-ship
12236,controller,controllership,-ship
12237,convenor,convenorship,-ship
12238,copartner,copartnership,-ship
12239,coproprietor,coproprietorship,-ship
12240,coroner,coronership,-ship
12241,corporal,corporalship,-ship
12242,correspondent,correspondentship,-ship
12243,corrival,corrivalship,-ship
12244,councillor,councillorship,-ship
12245,councilman,councilmanship,-ship
12246,counsellor,counsellorship,-ship
12247,counselor,counselorship,-ship
12248,country,countryship,-ship
12249,count,countship,-ship
12250,courtesan,courtesanship,-ship
12251,courtezan,courtezanship,-ship
12252,court,courtship,-ship
12253,cousin,cousinship,-ship
12254,coward,cowardship,-ship
12255,cowman,cowmanship,-ship
12256,craftman,craftmanship,-ship
12257,craftsman,craftsmanship,-ship
12258,craftsperson,craftspersonship,-ship
12259,craftswoman,craftswomanship,-ship
12260,creator,creatorship,-ship
12261,creature,creatureship,-ship
12262,creditor,creditorship,-ship
12263,curate,curateship,-ship
12264,curator,curatorship,-ship
12265,cur,curship,-ship
12266,custodian,custodianship,-ship
12267,customer,customership,-ship
12268,czar,czarship,-ship
12269,dad,dadship,-ship
12270,dame,dameship,-ship
12271,daughter,daughtership,-ship
12272,deacon,deaconship,-ship
12273,dealer,dealership,-ship
12274,dean,deanship,-ship
12275,debtor,debtorship,-ship
12276,decemvir,decemvirship,-ship
12277,defender,defendership,-ship
12278,deity,deityship,-ship
12279,demon,demonship,-ship
12280,demonstrator,demonstratorship,-ship
12281,denizen,denizenship,-ship
12282,deputy,deputyship,-ship
12283,designer,designership,-ship
12284,devil,devilship,-ship
12285,dictator,dictatorship,-ship
12286,director,directorship,-ship
12287,disciple,discipleship,-ship
12288,distributor,distributorship,-ship
12289,divinity,divinityship,-ship
12290,doctor,doctorship,-ship
12291,doctour,doctourship,-ship
12292,doer,doership,-ship
12293,doge,dogeship,-ship
12294,dog,dogship,-ship
12295,dollar,dollarship,-ship
12296,doll,dollship,-ship
12297,donor,donorship,-ship
12298,don,donship,-ship
12299,doorman,doormanship,-ship
12300,dove,doveship,-ship
12301,draftman,draftmanship,-ship
12302,draftsman,draftsmanship,-ship
12303,draughtsman,draughtsmanship,-ship
12304,drunken,drunkenship,-ship
12305,duenna,duennaship,-ship
12306,duke,dukeship,-ship
12307,eagle,eagleship,-ship
12308,earl,earlship,-ship
12309,ecopreneur,ecopreneurship,-ship
12310,editor,editorship,-ship
12311,elder,eldership,-ship
12312,eld,eldship,-ship
12313,elector,electorship,-ship
12314,emir,emirship,-ship
12315,emissary,emissaryship,-ship
12316,emperor,emperorship,-ship
12317,enemy,enemyship,-ship
12318,ensign,ensignship,-ship
12319,entrepreneur,entrepreneurship,-ship
12320,envoy,envoyship,-ship
12321,equestrian,equestrianship,-ship
12322,esquire,esquireship,-ship
12323,examiner,examinership,-ship
12324,exchequer,exchequership,-ship
12325,executor,executorship,-ship
12326,factor,factorship,-ship
12327,fan,fanship,-ship
12328,farmer,farmership,-ship
12329,father,fathership,-ship
12330,fellow,fellowship,-ship
12331,feoffee,feoffeeship,-ship
12332,fireman,firemanship,-ship
12333,flagbearer,flagbearership,-ship
12334,flirtation,flirtationship,-ship
12335,foe,foeship,-ship
12336,follower,followership,-ship
12337,fool,foolship,-ship
12338,footman,footmanship,-ship
12339,foreman,foremanship,-ship
12340,founder,foundership,-ship
12341,fox,foxship,-ship
12342,freedman,freedmanship,-ship
12343,free,freeship,-ship
12344,freshman,freshmanship,-ship
12345,friar,friarship,-ship
12346,friend,friendship,-ship
12347,frontiersman,frontiersmanship,-ship
12348,fuck,fuckship,-ship
12349,gangster,gangstership,-ship
12350,gauger,gaugership,-ship
12351,general,generalship,-ship
12352,gentleman,gentlemanship,-ship
12353,gentle,gentleship,-ship
12354,giant,giantship,-ship
12355,gib-cat,gibship,-ship
12356,gladiator,gladiatorship,-ship
12357,goddess,goddess-ship,-ship
12358,goddess,goddesship,-ship
12359,goddess,goddessship,-ship
12360,god,godship,-ship
12361,good,goodship,-ship
12362,goody,goodyship,-ship
12363,governess,governessship,-ship
12364,governor,governorship,-ship
12365,governour,governourship,-ship
12366,graduate,graduateship,-ship
12367,grandee,grandeeship,-ship
12368,grantsman,grantsmanship,-ship
12369,Grecian,Grecianship,-ship
12370,greeve,greeveship,-ship
12371,groom,groomship,-ship
12372,guardian,guardianship,-ship
12373,guard,guardship,-ship
12374,guide,guideship,-ship
12375,guild,guildship,-ship
12376,guru,guruship,-ship
12377,hag,hagship,-ship
12378,handcraftsman,handcraftsmanship,-ship
12379,hangman,hangmanship,-ship
12380,hardy,hardiship,-ship
12381,hard,hardship,-ship
12382,headmaster,headmastership,-ship
12383,headmistress,headmistress-ship,-ship
12384,head,headship,-ship
12385,hearer,hearership,-ship
12386,heathen,heathenship,-ship
12387,hector,hectorship,-ship
12388,heir,heirship,-ship
12389,helmsman,helmsmanship,-ship
12390,herald,heraldship,-ship
12391,hermit,hermitship,-ship
12392,hero,heroship,-ship
12393,here,hership,-ship
12394,high_king,high_kingship,-ship
12395,highpriest,highpriestship,-ship
12396,historiographer,historiographership,-ship
12397,homeowner,homeownership,-ship
12398,horseman,horsemanship,-ship
12399,horsewoman,horsewomanship,-ship
12400,hostage,hostageship,-ship
12401,hostess,hostess-ship,-ship
12402,host,hostship,-ship
12403,huntsman,huntsmanship,-ship
12404,husband,husbandship,-ship
12405,I,I-ship,-ship
12406,imitator,imitatorship,-ship
12407,impostor,impostorship,-ship
12408,imp,impship,-ship
12409,indenture,indentureship,-ship
12410,indigene,indigeneship,-ship
12411,infopreneur,infopreneurship,-ship
12412,inspector,inspectorship,-ship
12413,instructor,instructorship,-ship
12414,interlocutor,interlocutorship,-ship
12415,intern,internship,-ship
12416,internuncio,internuncioship,-ship
12417,interpreter,interpretership,-ship
12418,inventor,inventorship,-ship
12419,investor,investorship,-ship
12420,jailer,jailership,-ship
12421,janitor,janitorship,-ship
12422,jockey,jockeyship,-ship
12423,journeyman,journeymanship,-ship
12424,judge,judgeship,-ship
12425,junior,juniorship,-ship
12426,justice,justiceship,-ship
12427,kaiser,kaisership,-ship
12428,keeper,keepership,-ship
12429,killer,killership,-ship
12430,kindred,kindredship,-ship
12431,kind,kindship,-ship
12432,king,kingship,-ship
12433,kin,kinship,-ship
12434,kinsman,kinsmanship,-ship
12435,knave,knaveship,-ship
12436,knight,knightship,-ship
12437,lady,ladyship,-ship
12438,laird,lairdship,-ship
12439,landlord,landlordship,-ship
12440,landowner,landownership,-ship
12441,land,landscape,-ship
12442,laureate,laureateship,-ship
12443,layman,laymanship,-ship
12444,lay,layship,-ship
12445,leader,leadership,-ship
12446,learner,learnership,-ship
12447,lector,lectorship,-ship
12448,lecturer,lecturership,-ship
12449,lecture,lectureship,-ship
12450,legate,legateship,-ship
12451,legislator,legislatorship,-ship
12452,lesbian,lesbianship,-ship
12453,lessee,lesseeship,-ship
12454,librarian,librarianship,-ship
12455,licentiate,licentiateship,-ship
12456,lieutenant,lieutenantship,-ship
12457,life,lifemanship,-man;-ship
12458,lion,lionship,-ship
12459,listener,listenership,-ship
12460,lord,lordship,-ship
12461,love,loveship,-ship
12462,lurker,lurkership,-ship
12463,magistrate,magistrateship,-ship
12464,maiden,maidenship,-ship
12465,maintainer,maintainership,-ship
12466,major,majorship,-ship
12467,manager,managership,-ship
12468,man,manship,-ship
12469,mariner,marinership,-ship
12470,marksman,marksmanship,-ship
12471,marksperson,markspersonship,-ship
12472,markswoman,markswomanship,-ship
12473,marquis,marquisship,-ship
12474,marshal,marshalship,-ship
12475,martyr,martyrship,-ship
12476,master,mastership,-ship
12477,mate,mateship,-ship
12478,matron,matronship,-ship
12479,mayor,mayorship,-ship
12480,mean,meanship,-ship
12481,mediator,mediatorship,-ship
12482,medium,mediumship,-ship
12483,member,membership,-ship
12484,mentee,menteeship,-ship
12485,mentor,mentorship,-ship
12486,mercer,mercership,-ship
12487,messiah,messiahship,-ship
12488,Messiah,Messiahship,-ship
12489,midshipman,midshipmanship,-ship
12490,minion,minionship,-ship
12491,minister,ministership,-ship
12492,ministry,ministryship,-ship
12493,minor,minorship,-ship
12494,minx,minxship,-ship
12495,mistress,mistressship,-ship
12496,moderator,moderatorship,-ship
12497,monitor,monitorship,-ship
12498,mumpreneur,mumpreneurship,-ship
12499,muscleman,musclemanship,-ship
12500,musician,musicianship,-ship
12501,Muslim,Muslimship,-ship
12502,nabob,nabobship,-ship
12503,narrator,narratorship,-ship
12504,nation,nationship,-ship
12505,nawab,nawabship,-ship
12506,Nazarite,Nazariteship,-ship
12507,neighbor,neighborship,-ship
12508,neighbour,neighbourship,-ship
12509,niece,nieceship,-ship
12510,niggard,niggardship,-ship
12511,nomad,nomadship,-ship
12512,nonpartisan,nonpartisanship,-ship
12513,notary,notaryship,-ship
12514,noun,nounship,-ship
12515,novice,noviceship,-ship
12516,nun,nunship,-ship
12517,oarsman,oarsmanship,-ship
12518,oba,obaship,-ship
12519,observer,observership,-ship
12520,odd,oddship,-ship
12521,officer,officership,-ship
12522,office,officeship,-ship
12523,official,officialship,-ship
12524,ombudsman,ombudsmanship,-ship
12525,woman,one-upwomanship,-ship
12526,one,oneship,-ship
12527,operator,operatorship,-ship
12528,orator,oratorship,-ship
12529,orphan,orphanship,-ship
12530,outdoorsman,outdoorsmanship,-ship
12531,overlord,overlordship,-ship
12532,overseer,overseership,-ship
12533,owner,ownership,-ship
12534,painter,paintership,-ship
12535,pander,pandership,-ship
12536,parent,parentship,-ship
12537,partisan,partisanship,-ship
12538,partizan,partizanship,-ship
12539,partner,partnership,-ship
12540,pastor,pastorship,-ship
12541,patriarch,patriarchship,-ship
12542,patroon,patroonship,-ship
12543,pendragon,pendragonship,-ship
12544,penfriend,penfriendship,-ship
12545,penitentiary,penitentiaryship,-ship
12546,penman,penmanship,-ship
12547,penpal,penpalship,-ship
12548,penwoman,penwomanship,-ship
12549,physician,physicianship,-ship
12550,pimp,pimpship,-ship
12551,planter,plantership,-ship
12552,player,playership,-ship
12553,playfellow,playfellowship,-ship
12554,pledge,pledgeship,-ship
12555,ploughman,ploughmanship,-ship
12556,poet,poetship,-ship
12557,politician,politicianship,-ship
12558,pope,popeship,-ship
12559,porter,portership,-ship
12560,possessor,possessorship,-ship
12561,postmaster,postmastership,-ship
12562,postpartisan,postpartisanship,-ship
12563,practitioner,practitionership,-ship
12564,praetor,praetorship,-ship
12565,preacher,preachership,-ship
12566,prebendary,prebendaryship,-ship
12567,prebend,prebendship,-ship
12568,precentor,precentorship,-ship
12569,preceptor,preceptorship,-ship
12570,precursor,precursorship,-ship
12571,prefect,prefectship,-ship
12572,prelate,prelateship,-ship
12573,prelature,prelatureship,-ship
12574,premier,premiership,-ship
12575,prentice,prenticeship,-ship
12576,presbyter,presbytership,-ship
12577,president,presidentship,-ship
12578,pretender,pretendership,-ship
12579,priest,priestship,-ship
12580,primate,primateship,-ship
12581,prime_minister,primeministership,-ship
12582,primogeniture,primogenitureship,-ship
12583,prince,princeship,-ship
12584,principal,principalship,-ship
12585,prior,priorship,-ship
12586,probationer,probationership,-ship
12587,probation,probationship,-ship
12588,proconsul,proconsulship,-ship
12589,proctor,proctorship,-ship
12590,procurator,procuratorship,-ship
12591,professional,professionalship,-ship
12592,professor,professorship,-ship
12593,progenitor,progenitorship,-ship
12594,prolocutor,prolocutorship,-ship
12595,prophet,prophetship,-ship
12596,propraetor,propraetorship,-ship
12597,propr%C3%A6tor,propr%C3%A6torship,-ship
12598,proprietor,proprietorship,-ship
12599,prosecutor,prosecutorship,-ship
12600,protector,protectorship,-ship
12601,prothonotary,prothonotaryship,-ship
12602,provisor,provisorship,-ship
12603,provost,provostship,-ship
12604,proxy,proxyship,-ship
12605,pupil,pupilship,-ship
12606,puppy,puppyship,-ship
12607,purser,pursership,-ship
12608,quaestor,quaestorship,-ship
12609,quartermaster,quartermastership,-ship
12610,queen,queenship,-ship
12611,questor,questorship,-ship
12612,rajah,rajahship,-ship
12613,raja,rajaship,-ship
12614,ranger,rangership,-ship
12615,reader,readership,-ship
12616,receiver,receivership,-ship
12617,recipient,recipientship,-ship
12618,recorder,recordership,-ship
12619,recruit,recruitship,-ship
12620,rector,rectorship,-ship
12621,referee,refereeship,-ship
12622,regent,regentship,-ship
12623,register,registership,-ship
12624,registrar,registrarship,-ship
12625,relation,relationship,-ship
12626,residentiary,residentiaryship,-ship
12627,resident,residentship,-ship
12628,retainer,retainership,-ship
12629,return,returnship,-ship
12630,rider,ridership,-ship
12631,rival,rivalship,-ship
12632,rogue,rogueship,-ship
12633,roommate,roommateship,-ship
12634,ruler,rulership,-ship
12635,sachem,sachemship,-ship
12636,sage,sageship,-ship
12637,saint,saintship,-ship
12638,salesman,salesmanship,-ship
12639,salesperson,salespersonship,-ship
12640,saleswoman,saleswomanship,-ship
12641,savior,saviorship,-ship
12642,saviour,saviourship,-ship
12643,scholar,scholarship,-ship
12644,schoolmaster,schoolmastership,-ship
12645,scoutmaster,scoutmastership,-ship
12646,scrivener,scrivenership,-ship
12647,seaman,seamanship,-ship
12648,secretary,secretaryship,-ship
12649,seer,seership,-ship
12650,seignior,seigniorship,-ship
12651,self,selfship,-ship
12652,senator,senatorship,-ship
12653,seneschal,seneschalship,-ship
12654,senior,seniorship,-ship
12655,sentinel,sentinelship,-ship
12656,serf,serfship,-ship
12657,sergeant,sergeantship,-ship
12658,serjeant,serjeantship,-ship
12659,servant,servantship,-ship
12660,servitor,servitorship,-ship
12661,arm,armth,-th
12662,bajillion,bajillionth,-th
12663,bear,berth,-th
12664,billion,billionth,-th
12665,bear,birth,-th
12666,blow,blowth,-th
12667,blue,blueth,-th
12668,centillion,centillionth,-th
12669,clean,cleanth,-th
12670,cool,coolth,-th
12671,damp,dampth,-th
12672,deal,dealth,-th
12673,decillion,decillionth,-th
12674,deep,depth,-th
12675,dozen,dozenth,-th
12676,draw,drawth,-th
12677,dry,dryth,-th
12678,duodecillion,duodecillionth,-th
12679,edgrow,edgrowth,ed-
12680,eleventeen,eleventeenth,-th
12681,bide,faith,-th
12682,feel,feelth,-th
12683,five,fifth,-th
12684,foul,filth,-th
12685,four,fourth,-th
12686,full,fouth,-th
12687,full,fulth,-th
12688,gazillion,gazillionth,-th
12689,gloom,gloomth,-th
12690,googolplex,googolplexth,-th
12691,googol,googolth,-th
12692,green,greenth,-th
12693,grow,growth,-th
12694,have,hath,-th
12695,whole,health,-th
12696,high,heighth,-th
12697,high,highth,-th
12698,how_many,how_manyth,-th
12699,hundred,hundredth,-th
12700,ill,illth,-th
12701,i,ith,-th
12702,jillion,jillionth,-th
12703,j,jth,-th
12704,kajillion,kajillionth,-th
12705,kazillion,kazillionth,-th
12706,k,kth,-th
12707,long,length,-th
12708,lew,lewth,-th
12709,low,lowth,-th
12710,l,lth,-th
12711,mag,maegth,-th
12712,mow,math,-th
12713,milliard,milliardth,-th
12714,million,millionth,-th
12715,merry,mirth,-th
12716,moon,month,-th
12717,m,mth,-th
12718,myriad,myriadth,-th
12719,new,newth,-th
12720,nonillion,nonillionth,-th
12721,nothing,nothingth,-th
12722,nought,noughth,-th
12723,octillion,octillionth,-th
12724,one,oneth,-th
12725,onety-one,onety-oneth,-th
12726,quadrillion,quadrillionth,-th
12727,quintillion,quintillionth,-th
12728,room,roomth,-th
12729,rue,ruth,-th
12730,septillion,septillionth,-th
12731,sextillion,sextillionth,-th
12732,short,shorth,-th
12733,side,sidth,-th
12734,slow,sloth,-th
12735,slow,slowth,-th
12736,something,somethingth,-th
12737,spill,spilth,-th
12738,squillion,squillionth,-th
12739,steal,stealth,-th
12740,still,stillth,-th
12741,strong,strength,-th
12742,sway,sweight,-th
12743,thief,theft,-th
12744,thousand,thousandth,-th
12745,three,threeth,-th
12746,till,tilth,-th
12747,trew,trewth,-th
12748,trillion,trillionth,-th
12749,true,troth,-th
12750,true,truth,-th
12751,twelve,twelfth,-th
12752,twelve,twelveth,-th
12753,twenty-seven,twenty-seventh,-th
12754,two,twoth,-th
12755,umpteen,umpteenth,-th
12756,undecillion,undecillionth,-th
12757,strength,unstrength,un-
12758,vigintillion,vigintillionth,-th
12759,warm,warmth,-th
12760,welthe,wealth,-th
12761,what,whath,-th
12762,what,whatth,-th
12763,whole,wholth,-th
12764,wide,width,-th
12765,wroth,wrath,-th
12766,young,youngth,-th
12767,young,youth,-th
12768,zero,zeroth,-th
12769,zillion,zillionth,-th
12770,explode,%27splodey,-y
12771,aberrance,aberrancy,-y
12772,abeyance,abeyancy,-y
12773,abhorrence,abhorrency,-y
12774,absolvitor,absolvitory,-y
12775,absorbance,absorbancy,-y
12776,absorbance,absorbency,-y
12777,abstinence,abstinency,-y
12778,ache,achy,-y
12779,acid,acidy,-y
12780,acoustic,acousticky,-y
12781,acquire,acquiry,-y
12782,action,actiony,-y
12783,actor,actory,-y
12784,actress,actressy,-y
12785,address,addy,-y
12786,adult,adulty,-y
12787,advertise,advertisey,-y
12788,afterglow,afterglowy,-y
12789,agate,agaty,-y
12790,ague,aguey,-y
12791,air,airy,-y
12792,allotype,allotypy,-y
12793,almond,almondy,-y
12794,alright,alrighty,-y
12795,amber,ambery,-y
12796,ambivore,ambivory,-y
12797,ambidextrous,amby,-y
12798,amper,ampery,-y
12799,android,andy,-y
12800,angel,angelly,-y
12801,angst,angsty,-y
12802,animal,animally,-y
12803,aniseed,aniseedy,-y
12804,anorak,anoraky,-y
12805,antic,anticky,-y
12806,antique,antiquey,-y
12807,ants,antsy,-y
12808,ant,anty,-y
12809,one,any,-y
12810,apple,appley,-y
12811,apple,apply,-y
12812,apricot,apricotty,-y
12813,apricot,apricoty,-y
12814,April,Aprilly,-y
12815,arcade,arcadey,-y
12816,arch,archy,-y
12817,argue,argy-bargy,-y
12818,arrow,arrowy,-y
12819,arse,arsey,-y
12820,arts,artsy,-y
12821,arts_and_crafts,artsy-craftsy,-y
12822,art,arty,-y
12823,Art,Arty,-y
12824,ash,ashy,-y
12825,asshat,asshatty,-y
12826,asshole,assholey,-y
12827,ass,assy,-y
12828,atter,attery,-y
12829,attic,atticky,-y
12830,attitude,attitudy,-y
12831,aubergine,auberginey,-y
12832,augur,augury,-y
12833,August,Augusty,-y
12834,aunt,aunty,-y
12835,auscultator,auscultatory,-y
12836,autocephalous,autocephaly,-y
12837,autochthon,autochthony,-y
12838,autorefractometer,autorefractometry,-y
12839,autumn,autumny,-y
12840,awn,awny,-y
12841,azure,azury,-y
12842,babble,babbly,-y
12843,babe,baby,-y
12844,tobacco,baccy,-y
12845,backstab,backstabby,-y
12846,backwoods,backwoodsy,-y
12847,bacon,bacony,-y
12848,baff,baffy,-y
12849,bag,baggy,-y
12850,bags,bagsy,-y
12851,bald,baldy,-y
12852,balk,balky,-y
12853,balloon,balloony,-y
12854,ballroom,ballroomy,-y
12855,balls,ballsy,-y
12856,balaclava,bally,-y
12857,balm,balmy,-y
12858,balsam,balsamy,-y
12859,banana,bananery,-ery;-y
12860,bandbox,bandboxy,-y
12861,bang,bangy,-y
12862,bank,banky,-y
12863,banter,bantery,-y
12864,barbecue,barbecuey,-y
12865,barf,barfy,-y
12866,bark,barky,-y
12867,barn,barny,-y
12868,baroque,baroquey,-y
12869,baseball,basebally,-y
12870,bash,bashy,-y
12871,bass,bassy,-y
12872,bathroom,bathroomy,-y
12873,battleship,battleshippy,-y
12874,bat,batty,-y
12875,baulk,baulky,-y
12876,bawd,bawdy,-y
12877,beach,beachy,-y
12878,bead,beady,-y
12879,beak,beaky,-y
12880,beam,beamy,-y
12881,bean,beany,-y
12882,beard,beardy,-y
12883,Beatle,Beatley,-y
12884,beaver,beavery,-y
12885,bedbug,bedbuggy,-y
12886,bed,beddy,-y
12887,bedroom,bedroomy,-y
12888,beech,beechy,-y
12889,beefcake,beefcakey,-y
12890,beef,beefy,-y
12891,beer,beery,-y
12892,beetle,beetly,-y
12893,beetroot,beetrooty,-y
12894,bee,beey,-y
12895,beggar,beggary,-y
12896,beige,beigey,-y
12897,belch,belchy,-y
12898,bend,bendy,-y
12899,bent,benty,-y
12900,Beth,Bethy,-y
12901,beverage,bevvy,-y
12902,best,bezzy,-y
12903,bield,bieldy,-y
12904,big,biggity,-y
12905,big,biggy,-y
12906,bigot,bigoty,-y
12907,bilge,bilgy,-y
12908,billow,billowy,-y
12909,birch,birchy,-y
12910,bird,birdy,-y
12911,birse,birsy,-y
12912,biscuit,biscuity,-y
12913,bitch,bitchy,-y
12914,bite,bitey,-y
12915,bit,bitty,-y
12916,bivouac,bivvy,-y
12917,bivouac,bivy,-y
12918,blabber,blabbery,-y
12919,blab,blabby,-y
12920,blackcurrant,blackcurranty,-y
12921,blackmail,blackmaily,-y
12922,black,blacky,-y
12923,bladder,bladdery,-y
12924,blade,blady,-y
12925,blame,blamey,-y
12926,blancmange,blancmangey,-y
12927,blanket,blankety,-y
12928,blast,blasty,-y
12929,blather,blathery,-y
12930,bleach,bleachy,-y
12931,blear,bleary,-y
12932,bleat,bleaty,-y
12933,bleb,blebby,-y
12934,blech,blechy,-y
12935,bleep,bleepy,-y
12936,blimp,blimpy,-y
12937,bling,blingy,-y
12938,blink,blinky,-y
12939,blip,blippy,-y
12940,blirt,blirty,-y
12941,blister,blistery,-y
12942,blizzard,blizzardy,-y
12943,bloat,bloaty,-y
12944,blob,blobby,-y
12945,blockbuster,blockbustery,-y
12946,block,blocky,-y
12947,blog,bloggy,-y
12948,bloke,blokey,-y
12949,blood,bloody,-y
12950,bloom,bloomy,-y
12951,bloop,bloopy,-y
12952,blossom,blossomy,-y
12953,blotch,blotchy,-y
12954,blotter,blottery,-y
12955,blot,blotty,-y
12956,blouse,blousy,-y
12957,blowse,blowsy,-y
12958,blow,blowy,-y
12959,blubber,blubbery,-y
12960,bluegrass,bluegrassy,-y
12961,blues,bluesy,-y
12962,blue,Bluey,-y
12963,blue,bluey,-y
12964,bluff,bluffy,-y
12965,blurp,blurpy,-y
12966,blur,blurry,-y
12967,blush,blushy,-y
12968,bluster,blustery,-y
12969,board_game,boardgamey,-y
12970,boat,boaty,-y
12971,bobble,bobbly,-y
12972,Bob,Bobby,-y
12973,Bogart,Bogey,-y
12974,bog,boggy,-y
12975,boing,boingy,-y
12976,bollock,bollocky,-y
12977,bone,bony,-y
12978,bouffant,boofy,-y
12979,books,booksy,-y
12980,bookworm,bookwormy,-y
12981,book,booky,-y
12982,boom,boomy,-y
12983,booze,boozy,-y
12984,bop,boppy,-y
12985,bork,borky,-y
12986,bosk,bosky,-y
12987,bosom,bosomy,-y
12988,boss,bossy,-y
12989,botch,botchy,-y
12990,booth,bothy,-y
12991,bottom,bottomy,-y
12992,bottom,botty,-y
12993,bouffant,bouffanty,-y
12994,boulder,bouldery,-y
12995,bounce,bouncy,-y
12996,boutique,boutiquey,-y
12997,bower,bowery,-y
12998,bowlder,bowldery,-y
12999,box,boxy,-y
13000,boyfriend,boyfriendy,-y
13001,boys,boysy,-y
13002,bracken,brackeny,-y
