Affix,Source Word,Derived Word
-ous,Hymenochaetaceae,hymenochaetaceous
-ally,felicific,felicifically
-able,leap,leapable
-an,Mucorales,mucoralean
-ic,semiepiphyte,semiepiphytic
-al,superstructure,superstructural
-ist,original,originalist
-ist,Saturn,Saturnist
-ly,digitate,digitately
-ly,shadowy,shadowily
-ly,flagrant,flagrantly
-al,creed,creedal
-like,ginger,gingerlike
-able,tender,tenderable
-al,judgment,judgmental
-ie,hot,hottie
-ally,anaemic,anaemically
-an,Dalmatia,Dalmatian
-ic,anomer,anomeric
-ian,Lincoln,Lincolnian
-ly,foppish,foppishly
-ally,orthopedic,orthopedically
-ation,instrument,instrumentation
-ish,here,hereish
-y,stare,starey
-ation,Hebraicize,Hebraicization
-ly,cooperative,cooperatively
-ous,Malvaceae,malvaceous
-ly,propense,propensely
-ly,worry,worrily
-ish,surreal,surrealish
-ly,naked-handed,naked-handedly
-ly,ritual,ritually
-ly,noon,noonly
-able,thrust,thrustable
-ship,hermit,hermitship
-ing,west,westing
-ic,petrol,petrolic
-ly,content,contently
-al,reprove,reproval
-ist,regression,regressionist
-able,unstanch,unstanchable
-ly,agrological,agrologically
-an,circumforaneus,circumforanean
-ly,dressy,dressily
-an,ctenoidei,ctenoidean
-ie,George,Geordie
-ly,veiling,veilingly
-an,Mali,Malian
-ally,orogastric,orogastrically
-an,Choanozoa,choanozoan
-ed,greatcoat,greatcoated
-ly,amatory,amatorily
-ly,unimpressionable,unimpressionably
-ly,peritidal,peritidally
-ly,precolonial,precolonially
-al,salpinx,salpingeal
-ship,penwoman,penwomanship
lith-,-ic,lithic
-ist,irony,ironist
-ical,eventology,eventological
-oid,isthmus,isthmoid
-ly,unpredictive,unpredictively
-able,starch,starchable
-ous,Anacardiaceae,anacardiaceous
-ian,satrap,satrapian
-ly,taunting,tauntingly
-ette,disc,discette
-al,baptism,baptismal
-ly,simplehearted,simpleheartedly
-ly,subcultural,subculturally
-ie,Benjamin,Benjie
-ist,confrontation,confrontationist
-ly,jouncing,jouncingly
-ly,unrespectable,unrespectably
-ly,traitor,traitorly
-able,spill,spillable
-able,cherish,cherishable
-able,symmetrize,symmetrizable
-ly,inane,inanely
-able,gender,genderable
-an,Surtsey,Surtseyan
-ian,Lonergan,Lonerganian
-ability,detest,detestability
-ish,disco,discoish
-ly,breath,breathly
-able,stone,stonable
-ed,bore,bored
-ic,serology,serologic
-al,anode,anodal
-ly,mirky,mirkily
-ly,nonreferential,nonreferentially
-ic,Tai,Taic
-ly,durophagous,durophagously
-ly,hippocampal,hippocampally
-ly,evolutional,evolutionally
-ly,unregenerate,unregenerately
-like,feldspar,feldsparlike
-ist,genomic,genomicist
-ian,Mulhouse,Mulhousian
-ian,Hitler,Hitlerian
-ian,Spielberg,Spielbergian
-able,transliterate,transliteratable
-able,ditch,ditchable
-ly,potent,potently
-able,mathematize,mathematizable
-ly,smoothing,smoothingly
-ian,Dumas,Dumasian
-ally,populistic,populistically
-y,trip,trippy
-ist,mind,mindist
-ic,conoid,conoidic
-ian,Paglia,Paglian
-ic,abugida,abugidic
-ic,luminometry,luminometric
-ly,fake,fakely
-ly,improvident,improvidently
-able,switch,switchable
-ic,vasography,vasographic
-ed,grotto,grottoed
-ally,schismatic,schismatically
-ally,synergic,synergically
-ic,aspermia,aspermic
-al,confrontation,confrontational
-ist,tambourine,tambourinist
-al,hypotenuse,hypotenusal
-ic,oxycephaly,oxycephalic
-ie,aunt,auntie
-ist,myrmecology,myrmecologist
-ic,isosthenuria,isosthenuric
-ian,Cardiff,Cardiffian
-ly,unflinching,unflinchingly
-able,dilate,dilatable
-ed,hindcast,hindcasted
-ous,pyrene,pyrenous
-ally,semaphoric,semaphorically
-like,nipple,nipplelike
-ly,impassionate,impassionately
-ation,Danicize,Danicization
-ic,plectostele,plectostelic
-ed,nacre,nacred
-ist,synthesize,synthesist
-ship,owner,ownership
-al,dentition,dentitional
-ist,ceramic,ceramicist
-al,hexene,hexenal
-ian,cis-Jove,cis-Jovian
-like,chestnut,chestnutlike
-ly,forced,forcedly
-ly,quantitative,quantitatively
-ed,hag,hagged
-ly,fractious,fractiously
-y,mead,meady
-an,Foxe,Foxean
-ly,evincible,evincibly
-an,Callisto,Callistan
-ical,stereotype,stereotypical
-ally,phonosemantic,phonosemantically
-ous,proteroglyph,proteroglyphous
-ian,Acantharia,acantharian
-like,cobra,cobralike
-ing,scintillate,scintillating
-ist,animalcule,animalculist
-an,Chinook,Chinookan
-y,vine,viny
-ally,chauvinistic,chauvinistically
-ally,shambolic,shambolically
-ous,Apiaceae,apiaceous
-ish,tingle,tinglish
-ed,poppy,poppied
-ic,Ashkenazi,Ashkenazic
-ability,endure,endurability
-like,tube,tubelike
-ous,Malacopterygii,malacopterygious
-y,vampire,vampirey
-ly,undisturbed,undisturbedly
-y,pun,punny
-y,fiber,fibery
-ing,betray,betraying
-able,regulate,regulatable
-ian,gallium,gallian
-an,Cumbria,Cumbrian
-ly,selenological,selenologically
-ist,cantheism,cantheist
-ous,schorl,schorlous
-ical,ethnology,ethnological
-ist,Powell,Powellist
-ed,avidinate,avidinated
-ous,collagen,collagenous
-ist,functional,functionalist
-ic,olefin,olefinic
-ist,orthography,orthographist
-ability,exhibit,exhibitability
-s,naughty,naughties
-ed,JavaScript,JavaScripted
-ist,merge,mergist
-ous,holonym,holonymous
-ally,humoristic,humoristically
-like,geometry,geometrylike
-ic,nanosome,nanosomic
-ly,prototypical,prototypically
-ist,lake,Lakist
-ian,Glaser,Glaserian
-y,tart,tarty
-ly,geobiological,geobiologically
-ally,encaustic,encaustically
-ly,knocking,knockingly
-ic,Egyptology,Egyptologic
-able,sensationalize,sensationalizable
-ly,querulous,querulously
-y,India_ink,India-inky
-ly,ineffaceable,ineffaceably
-able,swindle,swindleable
-ly,bilingual,bilingually
-ed,pigtail,pigtailed
-ly,obnoxious,obnoxiously
-able,depict,depictable
-an,Sulawesi,Sulawesian
-ly,persuading,persuadingly
-able,defy,defiable
-ed,becraze,becrazed
-ed,member,membered
-ally,paedagogic,paedagogically
-ian,Dixon,Dixonian
-ly,unforgeable,unforgeably
-ian,academic,academician
-able,depower,depowerable
-able,oxygenize,oxygenizable
-ist,miscellany,miscellanist
-ly,uncompelling,uncompellingly
-like,auction,auctionlike
-ation,carboxymethyl,carboxymethylation
-ation,diphthong,diphthongation
-ly,personological,personologically
-able,troll,trollable
-ly,disquietening,disquieteningly
-ish,Frankenstein,Frankensteinish
-ship,oba,obaship
-ly,eruptive,eruptively
-ist,putsch,putschist
-ly,pulsating,pulsatingly
-ly,unfathomable,unfathomably
-oid,Coleoptera,coleopteroid
-ly,unsatisfactory,unsatisfactorily
rhizo-,-oid,rhizoid
-ed,ogee,ogeed
-ic,hexadecamer,hexadecameric
-dom,flunkey,flunkeydom
-ian,US,USian
-able,standardize,standardizable
-ing,milf,milfing
-ical,typtology,typtological
-like,dragon,dragonlike
-ly,trivalent,trivalently
-al,manuscript,manuscriptal
-ly,pervious,perviously
-ic,exophyte,exophytic
-ly,continuous,continuously
-ly,sectoral,sectorally
-ly,coeval,coevally
-al,lysosome,lysosomal
-y,grape,grapy
-ist,triangle,trianglist
-ic,uredospore,uredosporic
-ian,numismatic,numismatician
-ing,mutton_bird,muttonbirding
-ly,disquieting,disquietingly
-ed,accustom,accustomed
-ist,ionosphere,ionospherist
-like,chipmunk,chipmunklike
-ist,Barrowe,Barrowist
-able,influence,influenceable
-like,guilt,guiltlike
-al,forbid,forbiddal
-able,deconstruct,deconstructable
-ic,lissencephaly,lissencephalic
-ally,electromagnetic,electromagnetically
-ic,phakia,phakic
-ly,inarticulate,inarticulately
-like,poetry,poetrylike
-like,sapphire,sapphirelike
-osis,adenomata,adenomatosis
-ability,learn,learnability
-ship,brigadier,brigadiership
-ally,histomorphometric,histomorphometrically
-ic,lymphomonocyte,lymphomonocytic
-able,detonate,detonatable
-ly,mendacious,mendaciously
-ly,retrogressive,retrogressively
-y,shore,shory
-ly,rectangular,rectangularly
-age,pound,poundage
-ly,murdering,murderingly
-able,teleport,teleportable
-y,snipe,snipey
-ist,expedition,expeditionist
-ly,fasciate,fasciately
-ly,extrasegmental,extrasegmentally
-able,eat,eatable
-ic,telergy,telergic
-ly,intrascrotal,intrascrotally
-ly,muddy,muddily
-an,Okinawa,Okinawan
-ian,Terentius,Terentian
-ed,peplum,peplumed
-ic,hemoglobinuria,hemoglobinuric
-ation,malonyl,malonylation
-ly,compressive,compressively
-ly,unequal,unequally
-ed,dome,domed
-y,stream,streamy
-y,grope,gropy
-able,interconnect,interconnectable
-ing,funboard,funboarding
-ly,secluded,secludedly
-able,Google,googlable
-ly,allusive,allusively
-ed,footlight,footlighted
-ally,radiometric,radiometrically
-ist,invasion,invasionist
-ly,unwitty,unwittily
-ly,exploding,explodingly
-ly,unforgetting,unforgettingly
-ic,Norrland,Norrlandic
-ly,pristine,pristinely
-ly,designative,designatively
-ing,wattle,wattling
-ing,flyte,flyting
-able,admit,admittable
-like,courtier,courtierlike
-ly,sobbing,sobbingly
-like,buzz,buzzlike
-ist,verbal,cruciverbalist
-ly,callow,callowly
-able,mix,mixable
-ly,poky,pokily
-ship,chaperone,chaperoneship
-like,patent,patentlike
-ish,stupid,stupidish
-ish,faan,faanish
-ly,anarthrous,anarthrously
-ist,subculture,subculturist
-ic,nervon,nervonic
-like,hydra,hydralike
-ish,OK,OKish
-ic,homotaxis,homotaxic
-ist,mute,mutist
-ic,efferocytosis,efferocytotic
-able,log,loggable
-ally,ultramicroscopic,ultramicroscopically
-y,film,filmy
-able,nitrosate,nitrosatable
-ed,equipage,equipaged
-ist,catastrophe,catastrophist
-able,encash,encashable
-oid,jelly,jelloid
-ish,sleep,sleepish
-ly,imperceptible,imperceptibly
-able,cheque,chequable
-like,puma,pumalike
-ly,ruling,rulingly
-ist,affectation,affectationist
-able,retrotranspose,retrotransposable
-ed,beblubber,beblubbered
-like,cherub,cherublike
-like,parrot,parrotlike
-ly,pitiful,pitifully
-able,bonify,bonifiable
-ian,Chesterfield,Chesterfieldian
-ian,Laud,Laudian
-like,kiosk,kiosklike
-ly,nonracial,nonracially
-ish,together,togetherish
-ly,photosensitive,photosensitively
-ly,indictable,indictably
-al,numericlature,numericlatural
-ic,perovskite,perovskitic
-ian,Shannon,Shannonian
-able,unbreak,unbreakable
-ally,exocentric,exocentrically
-ing,hue,hueing
-ly,lingual,lingually
-ally,dilatometric,dilatometrically
-ic,tagmeme,tagmemic
-ly,stocky,stockily
-able,dislodge,dislodgeable
-ian,mythology,mythologian
-ly,dotty,dottily
-ed,beshirt,beshirted
-ian,Sinclair,Sinclairian
-ic,ergastoplasm,ergastoplasmic
-dom,bat,batdom
-ist,phyletic,phyleticist
-al,mutation,mutational
-ist,Pablo,Pabloist
-ly,hector,hectorly
-ly,incommodious,incommodiously
-ist,oology,oologist
-ly,juicy,juicily
-y,russet,russety
-ic,barograph,barographic
-ly,conventional,conventionally
-ly,uniaxial,uniaxially
-y,pirate,piratey
-ly,restive,restively
-ly,blameless,blamelessly
-ic,methylene,methylenic
-y,peas,peasy
-ly,flirty,flirtily
-ation,boryl,borylation
-ian,syrphus,syrphian
-ly,wight,wightly
-ic,tularemia,tularemic
-al,cynic,cynical
-dom,babu,babudom
-ist,adept,adeptist
-ly,conspiratorial,conspiratorially
-ing,sundown,sundowning
-ally,phonetic,phonetically
-ic,ketoside,ketosidic
-ly,schoolmistress,schoolmistressly
-ic,melibiose,melibionic
-ic,brunisol,brunisolic
-ly,comforting,comfortingly
-ly,inseparate,inseparately
-ist,congregational,congregationalist
-ally,cosmogonic,cosmogonically
-y,slang,slangy
-ally,trigonometric,trigonometrically
-ability,match,matchability
mono-,-gyny,monogyny
-ly,porous,porously
-ed,mistletoe,mistletoed
-ly,unreclaimable,unreclaimably
-an,Delphi,Delphian
-able,delude,deludable
-like,prow,prowlike
-able,absorb,absorbable
-ly,boggy,boggily
-ly,courtier,courtierly
-able,subtract,subtractable
-ly,benumbing,benumbingly
-ing,piano,pianoing
-ly,unwearied,unweariedly
-ian,sulfate,sulfatian
-ally,cryptomnesic,cryptomnesically
-ly,sparsed,sparsedly
-ic,monomer,monomeric
-ic,perimorph,perimorphic
-y,housewife,housewifey
-ly,uplifting,upliftingly
-ly,disappearing,disappearingly
-ist,predicative,predicativist
-able,reformat,reformattable
-ally,bionic,bionically
-able,crash,crashable
-ly,careful,carefully
-ic,thymidyl,thymidylic
-ian,Adler,Adlerian
-itude,finite,finitude
xantho-,-phyte,xanthophyte
-ly,dispassionate,dispassionately
-ly,subliterate,subliterately
-ly,stockish,stockishly
-ist,pharmacopeia,pharmacopeist
-ian,consistory,consistorian
-ian,dictionary,dictionarian
-oid,ivory,ivoroid
-al,oscillation,oscillational
-ly,blithering,blitheringly
-ish,fangirl,fangirlish
-able,describe,describable
-ly,explanatory,explanatorily
-ly,echoing,echoingly
-y,coconut,coconutty
-ic,ichnology,ichnologic
-ly,ape,apely
-ly,growling,growlingly
-aholic,tweet,tweetaholic
-ly,momentous,momentously
-able,compound,compoundable
-able,descry,descriable
-ic,acrophile,acrophilic
-like,sty,stylike
-ic,shonkinite,shonkinitic
-ed,tentacle,tentacled
-al,torsion,torsional
-ian,arcade,arcadian
-ly,saintish,saintishly
-ability,prove,provability
-ic,Cabiri,Cabiric
-ally,surrealistic,surrealistically
-ic,siderostat,siderostatic
-ous,skulduggery,skulduggerous
-able,rope,ropeable
-ic,paraphilia,paraphilic
-ly,potty,pottily
-able,blog,bloggable
-ed,insect,insected
-y,static,staticy
-ly,intentional,intentionally
-ly,unhandsome,unhandsomely
-ly,trivializing,trivializingly
-able,remap,remappable
-ic,holoprosencephaly,holoprosencephalic
-ly,egal,egally
-an,Jakarta,Jakartan
-ly,distributive,distributively
-ly,propulsive,propulsively
-ation,maximize,maximization
-ous,opacus,opacous
-ly,doubtful,doubtfully
-able,shade,shadable
-ly,supercilious,superciliously
-ly,regenerate,regenerately
-ic,anoikis,anoikic
-ian,Thysanura,thysanurian
-like,moon,moonlike
-ly,conversable,conversably
-ist,Penutian,Penutianist
-ly,assertional,assertionally
-osis,erythrocyte,erythrocytosis
-y,spank,spanky
-ian,Schoenberg,Schoenbergian
-ing,outfield,outfielding
-al,archicontinent,archicontinental
-able,herd,herdable
-an,Neobatrachia,neobatrachian
-ic,perikaryon,perikaryonic
-ly,corn,cornly
-ly,suspicious,suspiciously
-able,approach,approachable
-ly,indistinctive,indistinctively
-ally,stalagmitic,stalagmitically
-ed,tit,titted
hipp-,-oid,hippoid
-ist,preservation,preservationist
-ical,paleolimnology,paleolimnological
-y,beach,beachy
-ic,anarchy,anarchic
-ly,resistive,resistively
-ly,underpotential,underpotentially
-al,circuit,circuital
-n,Aquileia,Aquileian
-ly,solitudinous,solitudinously
-ly,stereotypical,stereotypically
-ly,chewing,chewingly
-ish,snarl,snarlish
-ing,merit_badge,merit_badging
-y,Duncan,Dunky
-ist,Koreanology,Koreanologist
-ic,macrocosm,macrocosmic
-al,discoid,discoidal
-ly,massive,massively
-ian,Penfield,Penfieldian
-ing,question,questioning
-an,Crimea,Crimean
-ed,pantyhose,pantyhosed
-ish,eremite,eremitish
-ish,bastard,bastardish
-ly,blackguard,blackguardly
-ly,unquenching,unquenchingly
-ly,motiveless,motivelessly
-ally,gynomorphic,gynomorphically
-al,notary,notarial
-y,pod,poddy
-ic,parthenophilia,parthenophilic
-ed,system,systemed
-ly,transbuccal,transbuccally
-ie,politician,pollie
-ist,extinction,extinctionist
-ly,pleased,pleasedly
-ly,park,parkly
-like,band,bandlike
-like,vodka,vodkalike
-al,cryoturbation,cryoturbational
-al,Peptostreptococcus,peptostreptococcal
-al,commissure,commissural
-ly,lightsome,lightsomely
-ly,saving,savingly
-ed,hangnail,hangnailed
-osis,fluoride,fluoridosis
-able,irrevoke,irrevocable
-al,perspective,perspectival
-ic,samsara,samsaric
-ly,authentique,authentiquely
-oid,disperse,dispersoid
-ly,hissing,hissingly
-y,slide,slidey
-ist,smoke,smokist
-ist,paradox,paradoxist
-al,acquisition,acquisitional
-y,rhubarb,rhubarby
-like,fence,fencelike
-ly,vapid,vapidly
-ic,cobaltous,cobaltosic
-ship,clown,clownship
-ic,enterotoxaemia,enterotoxaemic
-ing,flyspeck,flyspecking
-ly,raven,ravenly
-ly,sinless,sinlessly
-ly,exploring,exploringly
-ic,terebinth,terebinthic
-ly,derogatory,derogatorily
-ly,gleg,glegly
-ist,absurd,absurdist
-able,accentuate,accentuable
-ical,epistemology,epistemological
-al,isotherm,isothermal
-ing,snowbird,snowbirding
-ist,representation,representationist
-ist,geophysiology,geophysiologist
-ic,aphorism,aphorismic
-al,proscription,proscriptional
-ly,garden,gardenly
-ly,unelectable,unelectably
-ally,problematic,problematically
-ed,emeritus,emerited
-ly,demon,demonly
-ly,lupine,lupinely
-like,torch,torchlike
-ly,panicky,panickily
-ic,osmium,osmic
-ing,plaque,plaquing
-ly,enveloping,envelopingly
-ly,precoital,precoitally
-ed,pretzel,pretzelled
-ical,lithology,lithological
-y,Marshall,Marshally
-ous,Lepidoptera,lepidopterous
-y,copse,copsy
-ous,charge,chargeous
-y,powder,powdery
-ly,biennial,biennially
-ability,enforce,enforceability
-ly,blimpish,blimpishly
-ly,incivil,incivilly
-ly,vivid,vividly
-able,penalize,penalizable
-ly,feigning,feigningly
-like,jar,jarlike
-ally,emetic,emetically
-ish,teenybopper,teenybopperish
-ic,hemisphere,hemispheric
-ability,remark,remarkability
-ly,moral,morally
-y,flesh,fleshy
-ous,Rhopalocera,rhopalocerous
-ally,anticlimactic,anticlimactically
-al,sulfone,sulfonal
-ly,renal,renally
-y,links,linksy
-osis,dermatophyte,dermatophytosis
-ability,gratify,gratifiability
-y,pock,pocky
-ly,faecal,faecally
-ous,Fagaceae,fagaceous
-al,geode,geodal
-ly,undeserved,undeservedly
-ic,allotopy,allotopic
-ation,impropriate,impropriation
-ian,Schubert,Schubertian
-ly,smart,smartly
-ish,balk,balkish
-ly,noncoherent,noncoherently
-like,tango,tangolike
-y,false,falsy
-able,award,awardable
-ly,electrooptical,electrooptically
-ed,nightdress,nightdressed
-an,Styria,Styrian
-y,dollop,dollopy
-ally,stichomythic,stichomythically
-ist,morphine,morphinist
-ing,Bunbury,Bunburying
-ical,thematology,thematological
-osis,adust,adustiosis
-ian,Rimbaud,Rimbaudian
-able,cinch,cinchable
-ing,diapause,diapausing
-like,vault,vaultlike
-ical,teleology,teleological
-ly,complementary,complementarily
-y,books,booksy
-ly,stretchable,stretchably
-ly,physiognomical,physiognomically
-ly,listless,listlessly
-ous,Ebenaceae,ebenaceous
-ist,vibraphone,vibraphonist
-ly,bicultural,biculturally
-y,android,andy
-al,spore,sporal
-ly,caressing,caressingly
-ability,pulp,pulpability
-able,resale,resalable
-ic,metaphase,metaphasic
-osis,hyaline,hyalinosis
-cidal,toxoplasma,toxoplasmacidal
-al,penumbra,penumbral
-ly,covert,covertly
-ally,drastic,drastically
-ly,suffuse,suffusely
-ic,odontoclast,odontoclastic
-ly,wench,wenchly
-ly,conchological,conchologically
-ation,objective,objectivation
-ly,breaking,breakingly
-ic,idiosyncrasy,idiosyncratic
-able,recognize,recognizable
-y,twilight,twilighty
-al,derivation,derivational
-ly,heritable,heritably
-ish,riffraff,riffraffish
-ly,overarching,overarchingly
-ist,ukulele,ukuleleist
-ie,Esther,Essie
-ly,mewing,mewingly
-ly,thwacking,thwackingly
-ly,spring,springly
-ling,fish,fishling
-like,ether,etherlike
-ly,applaudable,applaudably
-ian,Harder,Harderian
-ly,meandering,meanderingly
-ly,grating,gratingly
-like,mushroom,mushroomlike
-ly,debating,debatingly
-able,computerise,computerisable
-ic,counterion,counterionic
-ly,clairvoyant,clairvoyantly
-like,pelican,pelicanlike
-ly,unignorable,unignorably
-s,hindward,hindwards
-able,subdivide,subdividable
-y,shred,shreddy
-ly,footman,footmanly
-ian,Cancer,Cancerian
-ly,untappable,untappably
-like,round,round-like
-ical,paleanthropology,paleanthropological
-like,fibrin,fibrinlike
-ly,handleable,handleably
-ing,fern,ferning
-ish,fad,fadish
-ship,consort,consortship
-ly,comparing,comparingly
-ous,Thysanura,thysanurous
-able,notify,notifiable
-ist,microtonal,microtonalist
-y,hog,hoggy
-ie,news,newsie
-like,asteroid,asteroidlike
-able,glue,gluable
-ly,mercantile,mercantilely
-ly,messy,messily
-ly,phosphorescent,phosphorescently
-ly,summer,summerly
-able,engage,engageable
-like,loaf,loaflike
-y,Spartan,Sparty
-ist,Russian,Russianist
-like,dwarf,dwarflike
-ly,straightforward,straightforwardly
-y,glass,glassy
-ly,inapproachable,inapproachably
-ly,overmodest,overmodestly
-ed,jungle,jungled
-al,pseudopodia,pseudopodial
-ly,pubic,pubicly
-o,national_service,nasho
-ly,powdery,powderily
-ly,speaker,speakerly
-ed,modillion,modillioned
-ic,exosystem,exosystemic
-ally,proctosigmoidoscopic,proctosigmoidoscopically
-al,lensoid,lensoidal
-ly,leisurely,leisurelily
-ly,unmappable,unmappably
-ly,unmarriageable,unmarriageably
-ed,mosquito,mosquitoed
-ic,parallelepiped,parallelepipedic
tetra-,-ic,tetrasemic
-ation,aziridine,aziridination
-ian,hafnium,hafnian
-ly,disfluent,disfluently
-ly,speedful,speedfully
-ish,elder,elderish
-like,ghost,ghostlike
-ing,upskirt,upskirting
-ish,fame,fame-ish
-age,dacoit,dacoitage
-al,future,futural
-ian,Emesene,Emesenian
-ous,struthio,struthious
-ly,tridirectional,tridirectionally
-ist,mouth_organ,mouth_organist
-ly,penological,penologically
-ed,embutter,embuttered
-al,brain,brainal
-ly,shorthanded,shorthandedly
-an,Istria,Istrian
-ic,cyclorama,cycloramic
-ly,snotty,snottily
-ly,supermassive,supermassively
-able,unleaven,unleavenable
-ly,omnidirectional,omnidirectionally
-able,plier,pliable
-like,puck,pucklike
-ally,mystagogic,mystagogically
-ly,beneficent,beneficently
-an,Tanna,Tannan
-ly,impending,impendingly
-ly,perfect,perfectly
-ly,prepuberal,prepuberally
-y,yawn,yawny
melano-,-oid,melanoid
-ous,bluster,blusterous
-ly,unbroken,unbrokenly
-ic,nostalgia,nostalgic
-ability,reimburse,reimbursability
-oid,meniscus,meniscoid
-ly,unsequential,unsequentially
-ly,inexplicable,inexplicably
-ally,propaedeutic,propaedeutically
-an,Procne,Procnean
-ic,pharmacophore,pharmacophoric
-an,Tonga,Tongan
-ling,bit,bitling
-like,elm,elmlike
-ly,uncomplaisant,uncomplaisantly
-ly,eximious,eximiously
-ian,Katz,Katzian
-ally,nephelometric,nephelometrically
-ly,dupable,dupably
-ist,bassoon,bassoonist
-y,Jack,Jacky
-y,ochre,ochrey
-ation,decrement,decrementation
-ly,posteroventrolateral,posteroventrolaterally
-ist,resurrection,resurrectionist
-ally,anthropopathetic,anthropopathetically
-ly,intensive,intensively
-ical,henology,henological
-ical,graphology,graphological
-ly,unassailable,unassailably
-ly,trimaximal,trimaximally
-ist,pedicure,pedicurist
-al,depression,depressional
-ly,masterful,masterfully
-ly,indecorous,indecorously
-able,munch,munchable
-oid,gabbro,gabbroid
-ly,purging,purgingly
-ic,scale,scalic
-ly,conjecturable,conjecturably
-like,lied,liedlike
-like,skiff,skifflike
-ic,hagiography,hagiographic
-ly,farmer,farmerly
-like,cartilage,cartilagelike
-ous,Oxalidaceae,oxalidaceous
-y,fart,farty
-ish,scaffold,scaffoldish
-ed,roid,roided_out
-ly,amphitheatrical,amphitheatrically
-ly,backward,backwardly
-an,aptera,apteran
-ian,Ganymede,Ganymedian
-ous,murther,murtherous
-ic,empathogen,empathogenic
-al,mycelium,mycelial
-ly,nameless,namelessly
-like,concussion,concussionlike
-ally,hypnotic,hypnotically
-ian,Juvenal,Juvenalian
-ic,blastocyst,blastocystic
-ly,accepted,acceptedly
-y,slutch,slutchy
-ing,atlas,atlasing
-ation,devulgarize,devulgarization
-ly,unkissable,unkissably
-ist,intuitional,intuitionalist
-like,poodle,poodlelike
-like,river,riverlike
-ly,unmeek,unmeekly
-al,patrimony,patrimonial
-al,mitochondrion,mitochondrional
-ly,herbicidal,herbicidally
-al,dispensation,dispensational
-ic,strontite,strontitic
-al,disjunction,disjunctional
-ly,luscious,lusciously
-an,Bulgaria,Bulgarian
-ic,endocrinology,endocrinologic
-ly,undulate,undulately
-ic,syllabary,syllabaric
-ally,antiscientific,antiscientifically
-able,squish,squishable
-like,curry,currylike
-ly,hesitating,hesitatingly
-ed,catty-corner,catty-cornered
-ist,conversational,conversationalist
-ly,southwestward,southwestwardly
-able,destroy,destroyable
-ic,meteoroscopy,meteoroscopic
-ly,untroubled,untroubledly
-ic,animist,animistic
-ling,change,changeling
-ly,unapprehensive,unapprehensively
-ed,chariot,charioted
-ly,bootless,bootlessly
-ic,topoisomer,topoisomeric
-ed,baluster,balustered
-ly,rustic,rusticly
-ly,twitchy,twitchily
-ly,humiliating,humiliatingly
-ic,rhizosphere,rhizospheric
-ist,avisodomy,avisodomist
-ly,whore,whorely
-ly,condemnable,condemnably
-ist,Chomsky,Chomskyist
-ed,tomato,tomatoed
-ly,neurodevelopmental,neurodevelopmentally
-ly,releasable,releasably
-ly,foamy,foamily
-ly,incentive,incentively
-ly,persisting,persistingly
-ian,Atlas,Atlantian
-ly,carousing,carousingly
-ly,hound,houndly
-ally,seraphic,seraphically
-ish,giraffe,giraffish
-like,bayonet,bayonetlike
-ally,symbiotic,symbiotically
-like,martyr,martyrlike
-ical,gerontocrat,gerontocratical
-ic,pyrrole,pyrrolic
-ian,Hamsun,Hamsunian
-ical,cacophony,cacophonical
-an,Falerii,Falerian
-ly,provisional,provisionally
-ly,supreme,supremely
-ic,planosol,planosolic
-ian,Boethius,Boethian
-ly,oozy,oozily
-al,imbibition,imbibitional
-ly,airtight,airtightly
-al,definition,definitional
-ian,arsenic,arsenian
-ian,Garrison,Garrisonian
-ly,united,unitedly
-y,Cadillac,Caddy
-like,bump,bumplike
-ing,peacock,peacocking
-ed,lawn,lawned
-ly,overassertive,overassertively
-ly,glandular,glandularly
-ly,conformal,conformally
-ability,describe,describability
-able,stroll,strollable
-ic,chiragra,chiragric
-age,mock,mockage
-ly,affine,affinely
-able,farm,farmable
-ist,frape,frapist
-ly,epicure,epicurely
-ed,drapery,draperied
-y,hot,hotty
-ly,nonaggressive,nonaggressively
-able,devour,devourable
-an,Northumbria,Northumbrian
-ly,anticipated,anticipatedly
-ly,exact,exactly
-ly,pesky,peskily
-like,kennel,kennellike
-ly,circumoral,circumorally
odonto-,-ist,odontist
-able,adsorb,adsorbable
-ical,quagmire,quagmirical
-ist,laic,laicist
-y,leach,leachy
-ical,malariology,malariological
-al,groupoid,groupoidal
-ship,mumpreneur,mumpreneurship
-like,glue,gluelike
-like,commander,commanderlike
-like,trapeze,trapezelike
-ian,Hamilton,Hamiltonian
-like,gong,gonglike
-ally,feministic,feministically
-y,snithe,snithy
-ly,dispersing,dispersingly
-ly,Deleuzian,Deleuzianly
-like,grouse,grouselike
-ist,erotology,erotologist
-ian,Poyais,Poyaisian
-ly,confusable,confusably
-ical,telegraph,telegraphical
-y,tips,tipsy
-ish,cramp,crampish
-able,accomplish,accomplishable
-able,alter,alterable
-ic,hebephilia,hebephilic
-al,paradox,paradoxal
-ist,physical,physicalist
-ly,retributive,retributively
-ly,depthless,depthlessly
-th,-th,breadth
-ability,correlate,correlatability
-ed,cider,cidered
-an,Transylvania,Transylvanian
-ing,unwarm,unwarming
-ical,atopy,atopical
-al,observation,observational
-ish,firm,firmish
-able,incontradict,incontradictable
-ly,rememberable,rememberably
-ed,million,millioned
-ship,cousin,cousinship
sapro-,-phyte,saprophyte
-ian,Daphne,Daphnian
-ian,Oberon,Oberonian
-ing,crocket,crocketing
-ly,antiretroviral,antiretrovirally
